...1,univ.name,campus,campus02,province,city,city_name,district,citycode,adcode,lng,lat,est.time,area_ha,i,SHI_D_ID,dem_mean,map_mean,mat_mean,wet_area,wet_num,gdp_mean,pd_mean,ul_mean
32,青岛农业大学,QDNY,qdny,山东省,青岛市,青岛市,城阳区,532,370214,120.397571,36.321143,1951,426.7,321,785,57.9842197193278,702.901648592741,12.7928696796841,190.1295,14,4323.65134205242,799.3017944335937,0.09894831982225716
33,安徽农业大学,AHNYDX,ahnydx,安徽省,合肥市,合肥市,蜀山区,551,340104,117.258728,31.861002,1953,210,56,986,40.2855418223627,1170.22758112094,16.2492133726647,1133.8839,5,2179.25264366699,656.685693359375,0.06355167029822922
34,山西大学,SXU,sxu,山西省,太原市,太原市,小店区,351,140105,112.587733,37.800166,1954,80,86,712,1251.62529832936,539.166804002354,8.20790661173243,39.5109,0,1904.36619076234,612.8198608398437,0.08083129724714508
35,广西民族大学,GXMZU,gxmzu,广西壮族自治区,南宁市,南宁市,西乡塘区,771,450107,108.235227,22.843226,1952,240,46,3982,196.447556416077,1771.42817484389,21.6182247992864,365.2794,2,772.263852484061,309.1556396484375,0.02138019291793559
36,南开大学,NKU,nku,天津市,天津市,天津市,南开区,22,120104,117.167998,39.103412,1923,121.6,85,352,17.1544053819444,589.627586795674,12.9426237905521,931.3785,4,5269.29661841532,1287.0294677734375,0.17777593460785576
37,四川农业大学,SCAU,scau,四川省,雅安市,雅安市,雨城区,835,511802,102.999091,29.978594,1956,160,320,1704,2089.50138529738,1677.57888416683,8.95207056730583,107.3628,0,171.319708614082,99.63135528564452,7.062946951129597e-4
38,浙江中医药大学,ZCMU,zcmu,浙江省,杭州市,杭州市,富阳区,571,330111,119.890284,30.085099,2015,45.32,161,1348,277.134237028853,1827.42874509977,16.41108443818,792.9315,1,2790.71359471348,551.5979370117187,0.06817109949824099
39,厦门大学,XMDX,xmdx,福建省,厦门市,厦门市,翔安区,592,350213,118.30986,24.608698,2012,243,52,3658,155.584810126582,1597.22199501247,20.813940149626,46.305,0,12426.2479487042,2424.100146484375,0.25264915804246185
40,河南师范大学,HNNU,hnnu,河南省,新乡市,新乡市,牧野区,373,410711,113.915454,35.327248,1953,139.53,144,916,143.63172939495,647.247280441239,14.5634832414086,70.3485,0,1448.27567160814,690.01800537109375,0.05949943804753394
41,吉林大学,JLU,jlu,吉林省,长春市,长春市,朝阳区,431,220104,125.279415,43.823157,1946,150.22,305,27,200.806397447737,575.171290119949,5.62321946696184,339.5934,3,763.095512923929,374.5053405761719,0.03744579592314477
